AID|Romaji|Kanji|English|Year|EpsTotal|Eps|EpsSpec|Rating|TmpRating|Vote|TmpVote|Reviews|ReviewsRating|TypeID|TypeName|isAdult
5192|Hatsu Inu The Animation|初犬 The Animation||2007|2|2|0|6.75|7.38|1286|1319|3|8.21|3|OVA|1
32|Hellsing|ヘルシング|Hellsing|2001-2002|21|13|7|6.29|7.66|13350|13582|15|6.86|2|TV Series|0
10889|Hibike! Euphonium|響け! ユーフォニアム|Sound! Euphonium|2015|23|13|10|7.80|7.67|3045|3055|2|7.83|2|TV Series|0
11746|Hibike! Euphonium 2|響け! ユーフォニアム 2|Sound! Euphonium 2|2016|46|13|33|8.51|7.98|1874|1879|1|7.16|2|TV Series|0
8109|Hidan no Aria|緋弾のアリア|Aria the Scarlet Ammo|2011|22|12|10|3.86|6.33|3502|3524|5|5.16|2|TV Series|0
6238|Higashi no Eden|東のエデン|Eden of the East|2009|20|11|9|7.82|8.02|7686|7737|5|7.16|2|TV Series|0
6636|Higashi no Eden: Gekijouban I - The King of Eden|東のエデン 劇場版I The King of Eden|Eden of the East: The King of Eden|2009|6|1|5|6.67|7.40|3418|3436|1|7.66|4|Movie|0
6637|Higashi no Eden: Gekijouban II - Paradise Lost|東のエデン 劇場版II Paradise Lost|Eden of the East: Paradise Lost|2010|4|1|3|6.54|7.31|2726|2737|1|8.00|4|Movie|0
3574|Higurashi no Naku Koro ni|ひぐらしのなく頃に|When They Cry - Higurashi|2006|36|26|10|7.92|8.16|9794|9950|11|7.89|2|TV Series|0
4176|Himawari!|ひまわりっ!|Himawari!|2006|17|13|4|3.72|6.45|1198|1217|0|-|2|TV Series|0
8166|Hoshizora e Kakaru Hashi|星空へ架かる橋|A Bridge to the Starry Skies|2011|39|12|27|4.19|6.42|2095|2111|2|4.75|2|TV Series|0
332|Hotaru no Haka|火垂るの墓|Grave of the Fireflies|1988|16|1|13|8.55|8.28|8393|8457|9|8.64|4|Movie|0
8289|Hotarubi no Mori e|蛍火の杜へ||2011|7|1|6|8.28|8.00|4486|4512|1|8.50|4|Movie|0
1218|Howl no Ugoku Shiro|ハウルの動く城|Howl`s Moving Castle|2004|9|1|3|8.22|8.23|11366|11428|5|6.89|4|Movie|0
147|Hyper Future Vision: Gunnm|HYPER FUTURE VISION 銃夢 GUNNM|Battle Angel|1993|3|2|1|5.82|7.05|2882|2896|3|6.94|3|OVA|0
2787|Ichigo Marshmallow|苺ましまろ|Strawberry Marshmallow|2005|18|12|6|7.68|7.97|3954|3991|6|8.24|2|TV Series|0
8720|Ijou Chitai|異常痴態||2011-2012|2|2|0|2.91|4.93|205|210|0|-|3|OVA|1
114|Ima, Soko ni Iru Boku|今, そこにいる僕|Now and Then, Here and There|1999-2000|17|13|4|7.34|7.74|4550|4589|14|7.35|2|TV Series|0
4738|Imouto Twins|義妹×2[いもうとツインズ]|Sex Exchange (2)|2006|1|1|0|3.96|5.90|481|487|0|-|3|OVA|1
1283|Inbaku Gakuen|淫縛学艶|School of Masochists|2002-2003|3|3|0|4.99|6.54|615|655|0|-|3|OVA|1
135|Initial D|頭文字D|Initial D: First Stage|1998|30|26|4|7.87|8.10|4733|4797|9|7.09|2|TV Series|0
682|Injuu Gakuen EX|淫獣学園 EX|Lady Blue|1996|4|4|0|4.23|5.96|376|386|0|-|3|OVA|1
1645|Interlude|インタールード|Interlude|2004|4|3|1|4.96|6.79|1347|1361|4|6.12|3|OVA|0
1153|Interstella 5555|INTERSTELLA 5555||2003|16|1|1|7.26|7.59|2299|2313|4|7.28|4|Movie|0
144|Inuyasha|犬夜叉|InuYasha|2000-2004|185|167|17|5.95|7.44|6326|6538|17|7.26|2|TV Series|0
197|Iria: Zeiram The Animation|イ・リ・ア ゼイラム The Animation|Iria Zeiram: The Animation|1994|13|6|7|5.42|6.82|1351|1361|0|-|3|OVA|0
2169|Iriya no Sora, UFO no Natsu|イリヤの空, UFOの夏|Sky of Iriya, Summer of UFO|2005|8|6|2|6.11|7.45|2602|2628|8|8.30|6|Web|0
7727|IS: Infinite Stratos|IS&lt;インフィニット・ストラトス&gt;|IS: Infinite Stratos|2011|30|12|18|4.13|6.47|5156|5200|5|4.83|2|TV Series|0
15918|Isekai Meikyuu de Harem o|異世界迷宮でハーレムを|Harem in the Labyrinth of Another World|2022|30|12|18|3.92|6.18|1272|1285|0|-|2|TV Series|0
16389|Isekai Ojisan|異世界おじさん|Uncle from Another World|2022-2023|29|13|16|7.39|7.50|1444|1453|1|7.83|2|TV Series|0
3126|Itazura The Animation|悪戯~いたずら~The Animation|G-Spot Express|2005|2|2|0|5.97|7.06|912|936|1|8.83|3|OVA|1
